Timestamp,Temperature (°C)
18:47:49,24.43
18:47:50,24.37
18:47:52,24.43
18:47:53,24.12
18:47:54,24.43
18:47:55,24.37
18:47:56,24.31
18:47:57,24.31
18:47:58,24.37
18:47:59,24.5
18:48:01,24.43
18:48:02,24.37
18:48:03,24.31
18:48:04,24.43
18:48:05,24.5
18:48:06,24.5
18:48:07,24.31
18:48:08,24.37
18:48:09,24.43
18:48:11,24.31
18:48:12,24.43
18:48:13,24.43
18:48:14,24.37
18:48:15,24.43
18:48:16,24.43
18:48:17,24.43
18:48:18,24.31
18:48:19,24.56
18:48:21,24.43
18:48:22,24.31
18:48:23,24.43
18:48:24,24.37
18:48:25,24.43
18:48:26,24.43
18:48:27,24.43
18:48:28,24.5
18:48:29,24.5
18:48:31,24.31
18:48:32,24.43
18:48:33,24.37
18:48:34,24.37
18:48:35,24.43
18:48:36,24.43
18:48:37,24.43
18:48:38,24.37
18:48:39,24.37
18:48:48,24.31
18:48:49,24.43
18:48:50,24.43
18:48:51,24.37
18:48:52,24.37
18:48:53,24.5
18:48:54,24.43
18:48:55,24.37
18:48:56,24.37
18:48:58,24.43
18:48:59,24.37
18:49:00,24.43
18:49:01,24.5
18:49:02,24.37
18:49:03,24.43
18:49:04,24.5
18:49:05,24.5
18:49:06,24.5
