Timestamp,Temperature (°C)
20:02:53,23.31
20:02:54,23.31
20:02:55,23.31
20:02:56,23.31
20:02:57,23.31
20:02:58,23.31
20:02:59,23.31
20:03:00,23.31
20:03:01,23.31
20:03:03,23.31
20:03:04,23.31
20:03:05,23.31
20:03:06,23.31
20:03:07,23.31
20:03:08,23.31
20:03:09,23.25
20:03:10,23.18
20:03:11,23.12
20:03:13,23.31
20:03:14,23.25
20:03:15,23.31
20:03:16,23.25
20:03:17,23.37
20:03:18,23.31
20:03:19,23.31
20:03:20,23.31
20:03:21,23.25
20:03:23,23.18
20:03:24,23.25
20:03:25,23.31
20:03:26,23.18
20:03:27,23.25
20:03:28,23.31
20:03:29,23.87
20:03:30,24.81
20:03:31,25.56
20:03:33,25.81
20:03:34,26.62
20:03:35,26.93
20:03:36,27.18
20:03:37,27.81
20:03:38,28.06
20:03:39,28.62
20:03:40,28.81
20:03:41,29.06
20:03:43,29.31
20:03:44,29.68
20:03:45,29.56
20:03:46,29.68
20:03:47,30.06
20:03:48,30.25
20:03:49,30.5
20:03:50,30.18
20:03:51,30.18
20:03:53,30.12
20:04:03,29.56
20:04:04,29.75
20:04:06,29.56
20:04:07,29.0
20:04:08,28.56
20:04:09,27.5
20:04:10,27.25
20:04:11,27.25
20:04:12,26.68
20:04:13,26.62
20:04:14,26.12
20:04:16,26.12
20:04:17,25.68
20:04:18,25.75
20:04:19,25.37
20:04:28,24.87
20:04:29,24.62
20:04:30,24.43
20:04:31,24.56
20:04:32,24.62
20:04:33,24.68
20:04:34,24.37
20:04:36,24.37
20:04:37,23.87
20:04:38,24.12
20:04:39,24.5
20:04:40,24.18
20:04:41,24.12
20:04:42,23.93
20:04:43,24.06
20:04:44,23.75
20:04:46,23.93
20:04:47,24.12
20:04:48,24.0
20:04:49,24.0
20:04:50,23.68
20:04:51,23.68
20:04:52,23.68
20:04:53,23.68
20:05:03,23.31
20:05:04,23.37
20:05:05,23.37
20:05:06,23.37
20:05:07,23.37
20:05:08,23.37
